signal_date,symbol,signal_type,planned_execute,execution_price,friday_close_ref
2026-03-06,CFG,ENTRY,2026-03-08,next_open,58.04
2026-03-06,DAKT,ENTRY,2026-03-08,next_open,21.95
2026-03-06,AAL,EXIT,2026-03-06,close,11.18
2026-03-06,ABG,EXIT,2026-03-06,close,204.78
2026-03-06,ADI,EXIT,2026-03-06,close,315.81
2026-03-06,ADT,EXIT,2026-03-06,close,6.55
2026-03-06,AEIS,EXIT,2026-03-06,close,290.78
2026-03-06,AIR,EXIT,2026-03-06,close,108.52
2026-03-06,ALSN,EXIT,2026-03-06,close,116.94
2026-03-06,AMBA,EXIT,2026-03-06,close,52.375
2026-03-06,AME,EXIT,2026-03-06,close,221.98
2026-03-06,APAM,EXIT,2026-03-06,close,37.34
2026-03-06,APH,EXIT,2026-03-06,close,131.87
2026-03-06,ARW,EXIT,2026-03-06,close,138.36
2026-03-06,ASX,EXIT,2026-03-06,close,21.12
2026-03-06,ATI,EXIT,2026-03-06,close,150.09
2026-03-06,AVT,EXIT,2026-03-06,close,60.05
2026-03-06,AWI,EXIT,2026-03-06,close,168.24
2026-03-06,AXTA,EXIT,2026-03-06,close,29.61
2026-03-06,BALL,EXIT,2026-03-06,close,62.53
2026-03-06,BANF,EXIT,2026-03-06,close,108.83
2026-03-06,BAX,EXIT,2026-03-06,close,17.69
2026-03-06,BDX,EXIT,2026-03-06,close,167.12
2026-03-06,BHP,EXIT,2026-03-06,close,71.85
2026-03-06,BKR,EXIT,2026-03-06,close,59.81
2026-03-06,BLDR,EXIT,2026-03-06,close,93.12
2026-03-06,BLK,EXIT,2026-03-06,close,955.45
2026-03-06,BMA,EXIT,2026-03-06,close,70.4
2026-03-06,CAT,EXIT,2026-03-06,close,680.9
2026-03-06,CBRE,EXIT,2026-03-06,close,136.83
2026-03-06,CELH,EXIT,2026-03-06,close,42.92
2026-03-06,CG,EXIT,2026-03-06,close,48.9
2026-03-06,CGNX,EXIT,2026-03-06,close,49.45
2026-03-06,CIEN,EXIT,2026-03-06,close,294.17
2026-03-06,CLF,EXIT,2026-03-06,close,9.83
