,portfolio_nav_gross
2007-10-19,9103208.547568789
2007-10-22,9167170.652589569
2007-10-23,9220801.100922605
2007-10-24,9190180.395171896
2007-10-25,9164826.439843087
2007-10-26,9259418.202802239
2007-10-29,9276784.911287071
2007-10-30,9252373.796502778
2007-10-31,9335052.966421949
2007-11-01,9137074.310539367
2007-11-02,9138226.309554504
2007-11-05,9088050.999483434
2007-11-06,9169722.307932895
2007-11-07,8989803.237706287
2007-11-08,9031751.23453682
2007-11-09,8970330.746882502
2007-11-12,8970330.746882502
2007-11-13,8970330.746882502
2007-11-14,8970330.746882502
2007-11-15,8970330.746882502
2007-11-16,8970330.746882502
2007-11-19,8970330.746882502
2007-11-20,8970330.746882502
2007-11-21,8970330.746882502
2007-11-23,8970330.746882502
2007-11-26,8970330.746882502
2007-11-27,8970330.746882502
2007-11-28,8970330.746882502
2007-11-29,8970330.746882502
2007-11-30,8970330.746882502
2007-12-03,8970330.746882502
2007-12-04,8970330.746882502
2007-12-05,8970330.746882502
2007-12-06,8970330.746882502
2007-12-07,8970330.746882502
2007-12-10,8970330.746882502
2007-12-11,8970330.746882502
2007-12-12,8970330.746882502
2007-12-13,8970330.746882502
2007-12-14,8970330.746882502
2007-12-17,8970330.746882502
2007-12-18,8970330.746882502
2007-12-19,8970330.746882502
2007-12-20,8970330.746882502
2007-12-21,8970330.746882502
2007-12-24,8970330.746882502
2007-12-26,8970330.746882502
2007-12-27,8970330.746882502
2007-12-28,8970330.746882502
2007-12-31,8970330.746882502
2008-01-02,8970330.746882502
2008-01-03,8970330.746882502
2008-01-04,8970330.746882502
2008-01-07,8970330.746882502
2008-01-08,8970330.746882502
2008-01-09,8970330.746882502
2008-01-10,8970330.746882502
2008-01-11,8970330.746882502
2008-01-14,8970330.746882502
2008-01-15,8970330.746882502
2008-01-16,8970330.746882502
2008-01-17,8970330.746882502
2008-01-18,8970330.746882502
2008-01-22,8970330.746882502
2008-01-23,8970330.746882502
2008-01-24,8970330.746882502
2008-01-25,8970330.746882502
2008-01-28,8970330.746882502
2008-01-29,8970330.746882502
2008-01-30,8970330.746882502
2008-01-31,8970330.746882502
2008-02-01,8970330.746882502
2008-02-04,8970330.746882502
2008-02-05,8970330.746882502
2008-02-06,8970330.746882502
2008-02-07,8970330.746882502
2008-02-08,8970330.746882502
2008-02-11,8970330.746882502
2008-02-12,8970330.746882502
2008-02-13,8970330.746882502
2008-02-14,8970330.746882502
2008-02-15,8970330.746882502
2008-02-19,8970330.746882502
2008-02-20,8970330.746882502
2008-02-21,8970330.746882502
2008-02-22,8970330.746882502
2008-02-25,8970330.746882502
2008-02-26,8970330.746882502
2008-02-27,8970330.746882502
2008-02-28,8970330.746882502
2008-02-29,8970330.746882502
2008-03-03,8970330.746882502
2008-03-04,8970330.746882502
2008-03-05,8970330.746882502
2008-03-06,8970330.746882502
2008-03-07,8970330.746882502
2008-03-10,8970330.746882502
2008-03-11,8970330.746882502
2008-03-12,8970330.746882502
2008-03-13,8970330.746882502
2008-03-14,8970330.746882502
2008-03-17,8970330.746882502
2008-03-18,8970330.746882502
2008-03-19,8970330.746882502
2008-03-20,8970330.746882502
2008-03-24,8970330.746882502
2008-03-25,8970330.746882502
2008-03-26,8970330.746882502
2008-03-27,8970330.746882502
2008-03-28,8970330.746882502
2008-03-31,8970330.746882502
2008-04-01,8970330.746882502
2008-04-02,8970330.746882502
2008-04-03,8970330.746882502
2008-04-04,8970330.746882502
2008-04-07,8970330.746882502
2008-04-08,8970330.746882502
2008-04-09,8970330.746882502
2008-04-10,8970330.746882502
2008-04-11,8970330.746882502
2008-04-14,8970330.746882502
2008-04-15,8970330.746882502
2008-04-16,8970330.746882502
2008-04-17,8970330.746882502
2008-04-18,8970330.746882502
